iter	MAE
0	9.609884516
1	9.476814138
2	9.353042524
3	9.190015628
4	9.121608839
5	9.044793049
6	8.96627802
7	8.805619613
8	8.701493154
9	8.609550213
10	8.513607405
11	8.44817925
12	8.36916228
13	8.22663054
14	8.152194397
15	8.105607966
16	8.052216956
17	7.945407539
18	7.909755808
19	7.835901446
20	7.776484807
21	7.718210783
22	7.664668864
23	7.613617932
24	7.575251601
25	7.543368578
26	7.434014616
27	7.409642459
28	7.366653356
29	7.352599196
30	7.332918151
31	7.318587973
32	7.275689939
33	7.239992338
34	7.131888276
35	7.113683828
36	7.089648228
37	7.019974584
38	6.98541777
39	6.970562947
40	6.947795225
41	6.873659347
42	6.823471814
43	6.810393606
44	6.787377732
45	6.770234236
46	6.7171593
47	6.692907329
48	6.632908398
49	6.623416354
50	6.597081811
51	6.586228333
52	6.551416508
53	6.531856331
54	6.52208468
55	6.516126976
56	6.50400773
57	6.489844544
58	6.446637207
59	6.438802871
60	6.420248033
61	6.411330658
62	6.38925643
63	6.377519131
64	6.330713634
65	6.327516006
66	6.284064854
67	6.2360348
68	6.184882699
69	6.148486486
70	6.138255383
71	6.126958086
72	6.090916148
73	6.076006751
74	6.047180254
75	6.036690152
76	6.025038528
77	6.011579287
78	6.003752156
79	5.992187558
80	5.984428624
81	5.974555506
82	5.954736608
83	5.931959888
84	5.909882419
85	5.90234454
86	5.874777059
87	5.852836269
88	5.842912993
89	5.83261996
90	5.820143238
91	5.799870067
92	5.786232005
93	5.77460419
94	5.764024485
95	5.754519284
96	5.748917748
97	5.74165801
98	5.73378172
99	5.725893662
100	5.721919072
101	5.69872093
102	5.679470439
103	5.672462429
104	5.664071467
105	5.659622172
106	5.655779859
107	5.645525057
108	5.641237058
109	5.623255902
110	5.614724698
111	5.608812317
112	5.601674353
113	5.595930196
114	5.588092629
115	5.578974832
116	5.572853063
117	5.562823086
118	5.551130297
119	5.542287316
120	5.531735375
121	5.523690503
122	5.513053814
123	5.504622497
124	5.489575953
125	5.480588728
126	5.473088481
127	5.46066291
128	5.454146202
129	5.44760092
130	5.439304108
131	5.433730672
132	5.426693785
133	5.42300254
134	5.415515213
135	5.403542618
136	5.39906217
137	5.393780509
138	5.386702814
139	5.377444468
140	5.368942563
141	5.359014098
142	5.350031938
143	5.338333074
144	5.332621998
145	5.33045367
146	5.316458394
147	5.311258439
148	5.303306109
149	5.294243744
150	5.286777883
151	5.278482822
152	5.269741025
153	5.2658534
154	5.260234567
155	5.256444553
156	5.246842825
157	5.237040008
158	5.228331679
159	5.222318211
160	5.21748622
161	5.213155278
162	5.205878357
163	5.20172866
164	5.195275364
165	5.191858229
166	5.185252847
167	5.177148567
168	5.169013901
169	5.161388062
170	5.157375293
171	5.150972453
172	5.144397094
173	5.137552962
174	5.135799395
175	5.130286507
176	5.12272522
177	5.116892494
178	5.11323619
179	5.109423031
180	5.105805939
181	5.101921647
182	5.100152764
183	5.096934952
184	5.090469871
185	5.085981189
186	5.081773798
187	5.07673132
188	5.07150354
189	5.067060991
190	5.061606865
191	5.057556815
192	5.049849875
193	5.04560123
194	5.041249458
195	5.034647845
196	5.026837477
197	5.025021161
198	5.023004967
199	5.020283021
200	5.014766017
201	5.014061508
202	5.012325984
203	5.008070159
204	5.006745825
205	5.004283983
8337997
206	5.044575561
207	5.038489137
208	5.031681797
209	5.030644563
210	5.02705772
211	5.023672225
212	5.018081405
213	5.012195522
214	5.007020158
215	5.00278617
216	4.999869063
217	4.994938819
218	4.989407193
219	4.986535006
220	4.981892255
221	4.972332315
222	4.968212962
223	4.956649151
224	4.955097245
225	4.953567475
226	4.951141546
227	4.947091928
228	4.94250204
229	4.936142546
230	4.932793828
231	4.929553822
232	4.927903635
233	4.924083116
234	4.919868473
235	4.914076231
236	4.911367968
237	4.909852601
238	4.90266488
239	4.899083936
240	4.895183712
241	4.894134724
242	4.887974117
243	4.886362937
244	4.881319715
245	4.875983153
246	4.87359754
247	4.870166012
248	4.866151444
249	4.860784896
250	4.854723419
251	4.852185704
252	4.845793208
253	4.842553048
254	4.838971353
255	4.834639855
256	4.83136694
257	4.826566748
258	4.825435322
259	4.820132744
260	4.810504793
261	4.807950608
262	4.807271625
263	4.80375767
264	4.8003372
265	4.79582815
266	4.792408023
267	4.789706409
268	4.784634033
269	4.782040443
270	4.780053562
271	4.774778883
272	4.768999551
273	4.765139213
274	4.764803075
275	4.760920047
276	4.759793306
277	4.757921917
278	4.757311843
279	4.755673344
280	4.751838693
281	4.748788694
282	4.747975985
283	4.746174799
284	4.742103964
285	4.732990593
286	4.731665363
287	4.730779917
288	4.728028426
289	4.725853
290	4.724875434
291	4.721843478
292	4.717179223
293	4.712008983
294	4.7090537
295	4.704989117
296	4.701469792
297	4.700090562
298	4.693836357
299	4.690190409
300	4.68823098
301	4.686213531
302	4.685205485
303	4.681399182
304	4.67806307
305	4.677204513
306	4.673122352
307	4.671560611
