iter	Passed	Remaining
0	7	6339
1	10	4775
2	13	4131
3	17	3913
4	20	3707
5	23	3499
6	27	3542
7	31	3499
8	34	3432
9	37	3309
10	39	3214
11	42	3151
12	45	3109
13	48	3078
14	54	3198
15	57	3188
16	60	3155
17	63	3123
18	66	3067
19	69	3048
20	71	3004
21	74	2972
22	81	3092
23	83	3056
24	87	3062
25	92	3096
26	96	3133
27	99	3094
28	102	3071
29	105	3072
30	108	3034
31	112	3044
32	114	3010
33	117	2981
34	120	2975
35	123	2958
36	125	2928
37	129	2929
38	133	2946
39	136	2928
40	138	2909
41	141	2887
42	145	2900
43	149	2913
44	152	2898
45	155	2890
46	158	2881
47	162	2885
48	166	2899
49	170	2903
50	174	2907
51	179	2921
52	181	2897
53	184	2884
54	187	2878
55	189	2863
56	192	2850
57	196	2859
58	204	2910
59	207	2909
60	212	2923
61	216	2927
62	219	2916
63	222	2903
64	227	2918
65	232	2939
66	235	2921
67	238	2915
68	242	2917
69	246	2919
70	249	2917
71	252	2908
72	256	2905
73	264	2948
74	267	2943
75	271	2944
76	276	2950
77	278	2937
78	284	2959
79	291	2986
80	295	2990
81	301	3006
82	304	3000
83	308	3000
84	312	2999
85	321	3041
86	324	3036
87	329	3044
88	333	3039
89	339	3051
90	343	3055
91	346	3042
92	350	3037
93	352	3023
94	355	3013
95	359	3008
96	362	2999
97	365	2990
98	368	2979
99	370	2965
100	374	2960
101	378	2962
102	381	2955
103	386	2957
104	389	2949
105	392	2938
106	394	2927
107	400	2934
108	404	2933
109	406	2922
110	410	2917
111	413	2907
112	416	2899
113	419	2889
114	421	2877
115	424	2868
116	426	2857
117	429	2845
118	432	2839
119	436	2834
120	442	2846
121	445	2838
122	448	2830
123	451	2825
124	455	2823
125	458	2815
126	460	2802
127	462	2790
128	467	2795
129	474	2810
130	477	2801
131	479	2789
132	482	2781
133	486	2781
134	489	2775
135	492	2768
136	495	2758
137	497	2747
138	500	2738
139	502	2728
140	505	2719
141	510	2722
142	514	2721
143	516	2712
144	519	2704
145	521	2695
146	526	2697
147	529	2688
148	531	2679
149	537	2687
150	541	2687
151	544	2679
152	546	2669
153	549	2663
154	552	2655
155	554	2646
156	557	2636
157	559	2626
158	561	2617
159	564	2608
160	566	2599
161	568	2590
162	571	2581
163	573	2572
164	575	2562
165	581	2569
166	584	2565
167	586	2557
168	588	2547
169	591	2540
170	594	2535
171	597	2530
172	600	2524
173	603	2517
174	608	2521
175	613	2521
176	615	2512
177	618	2507
178	620	2498
179	622	2488
180	624	2480
181	626	2471
182	628	2463
183	630	2455
184	634	2450
185	636	2443
186	638	2435
187	640	2427
188	642	2418
189	645	2410
190	646	2401
191	648	2393
192	653	2394
193	656	2388
194	658	2379
195	660	2372
196	663	2367
197	665	2359
198	667	2351
199	669	2344
200	672	2338
201	674	2331
202	676	2324
203	682	2328
204	685	2324
205	687	2317
73
206	739	2474
207	742	2471
208	748	2474
209	751	2470
210	754	2462
211	758	2462
212	762	2458
213	765	2452
214	767	2446
215	771	2443
216	774	2438
217	778	2434
218	782	2432
219	788	2436
220	791	2432
221	794	2426
222	798	2423
223	801	2419
224	804	2412
225	807	2407
226	811	2406
227	816	2407
228	821	2405
229	824	2400
230	826	2394
231	829	2389
232	832	2382
233	834	2376
234	838	2372
235	840	2366
236	843	2359
237	846	2355
238	849	2348
239	855	2353
240	858	2347
241	861	2341
242	863	2334
243	865	2328
244	868	2321
245	871	2315
246	874	2311
247	879	2312
248	884	2313
249	886	2306
250	889	2300
251	892	2295
252	894	2288
253	898	2284
254	900	2278
255	904	2274
256	906	2269
257	909	2263
258	911	2256
259	913	2249
260	916	2243
261	922	2246
262	925	2242
263	928	2237
264	931	2231
265	935	2228
266	939	2226
267	941	2220
268	944	2215
269	950	2218
270	954	2214
271	956	2209
272	959	2203
273	962	2198
274	964	2192
275	967	2188
276	970	2181
277	972	2175
278	974	2168
279	976	2162
280	979	2156
281	981	2151
282	983	2144
283	985	2138
284	988	2133
285	995	2136
286	997	2130
287	999	2123
288	1001	2117
289	1004	2112
290	1006	2106
291	1009	2101
292	1011	2095
293	1014	2090
294	1021	2094
295	1024	2091
296	1027	2085
297	1029	2080
298	1032	2074
299	1034	2068
300	1036	2063
301	1038	2057
302	1041	2051
303	1044	2047
304	1047	2043
305	1050	2038
306	1052	2032
307	1054	2027
308	1056	2021
309	1059	2015
310	1063	2014
311	1066	2010
312	1069	2005
313	1071	1999
314	1073	1994
315	1076	1989
316	1078	1983
317	1081	1978
318	1083	1974
319	1086	1968
320	1088	1963
321	1093	1963
322	1097	1960
323	1099	1955
324	1101	1949
325	1103	1943
326	1105	1937
327	1107	1931
328	1109	1925
329	1111	1919
330	1113	1913
331	1115	1907
332	1116	1901
333	1118	1896
334	1120	1890
335	1122	1884
336	1124	1878
337	1126	1872
338	1127	1866
339	1129	1861
340	1133	1857
341	1136	1854
342	1138	1849
343	1140	1843
344	1142	1838
345	1144	1832
346	1146	1827
347	1148	1822
348	1150	1817
349	1153	1811
350	1155	1806
351	1157	1801
352	1159	1796
353	1161	1792
354	1167	1791
355	1169	1786
356	1170	1781
357	1172	1775
358	1174	1770
359	1177	1765
360	1179	1760
361	1181	1755
362	1183	1750
363	1185	1745
364	1187	1740
365	1189	1735
366	1192	1731
367	1194	1726
368	1196	1721
369	1198	1716
370	1199	1710
371	1201	1705
372	1203	1700
373	1207	1698
374	1210	1694
375	1212	1689
376	1214	1685
377	1216	1680
378	1218	1675
379	1221	1671
380	1223	1666
381	1225	1661
382	1227	1656
383	1228	1651
384	1231	1646
385	1232	1641
386	1239	1643
6	1334
388	1258	1330
389	1260	1325
390	1262	1320
391	1264	1316
392	1266	1311
393	1268	1307
394	1271	1303
395	1273	1298
396	1275	1294
397	1277	1290
398	1278	1285
399	1280	1280
400	1282	1276
401	1284	1271
402	1288	1269
403	1290	1265
404	1293	1261
405	1294	1256
406	1296	1252
407	1298	1247
408	1301	1243
409	1303	1239
410	1305	1235
411	1307	1231
412	1309	1227
413	1311	1222
414	1313	1218
415	1320	1219
416	1322	1215
417	1325	1211
418	1327	1207
419	1330	1203
420	1332	1199
421	1334	1195
422	1337	1191
423	1339	1187
424	1341	1183
425	1344	1180
426	1346	1176
427	1348	1171
428	1350	1168
429	1352	1164
430	1355	1160
431	1360	1159
432	1366	1158
433	1368	1154
434	1371	1150
435	1373	1146
436	1376	1143
437	1379	1140
438	1381	1136
439	1383	1132
440	1392	1133
441	1394	1129
442	1397	1125
443	1399	1122
444	1401	1118
445	1403	1114
446	1405	1110
447	1408	1106
448	1410	1102
449	1412	1098
450	1414	1094
451	1417	1091
452	1420	1087
453	1421	1083
454	1424	1079
455	1425	1075
456	1428	1071
457	1430	1067
458	1436	1067
459	1439	1063
460	1441	1060
461	1443	1056
462	1446	1052
463	1448	1048
464	1450	1045
465	1452	1041
466	1454	1037
467	1457	1033
468	1466	1035
469	1469	1031
470	1472	1028
112
473	1611	1108
474	1615	1105
475	1619	1102
476	1622	1098
477	1625	1094
478	1631	1093
479	1634	1089
480	1638	1086
481	1641	1083
482	1645	1079
483	1648	1076
484	1652	1073
485	1656	1069
486	1660	1067
487	1667	1066
488	1672	1063
489	1677	1061
490	1680	1057
491	1684	1054
492	1686	1050
493	1692	1048
494	1696	1045
495	1698	1041
496	1702	1037
497	1705	1034
498	1709	1031
499	1711	1026
500	1714	1023
501	1716	1019
502	1719	1015
503	1723	1011
504	1725	1008
505	1728	1004
506	1734	1002
507	1738	999
508	1742	995
509	1744	992
510	1748	988
511	1751	985
512	1753	981
513	1756	977
514	1759	973
515	1766	972
516	1769	968
517	1772	964
518	1775	961
519	1778	957
520	1781	954
521	1785	950
522	1788	947
523	1791	943
524	1793	939
525	1796	935
526	1798	931
527	1804	929
528	1807	926
529	1810	922
530	1812	918
531	1816	914
532	1819	911
533	1822	907
534	1827	905
535	1832	902
536	1834	898
537	1837	894
771	853
540	1774	849
541	1778	846
542	1782	843
543	1786	840
544	1789	837
545	1793	834
546	1796	830
547	1799	827
548	1803	824
549	1810	823
550	1816	820
551	1820	817
552	1824	815
553	1828	812
554	1832	808
555	1836	805
556	1840	802
557	1843	799
558	1848	796
559	1853	794
560	1857	791
561	1860	787
562	1862	784
